word,zipf,length,start,direction,path
ROSE,4.82,4,D3-L2,S+W,D3-L2 -> C4-L2 -> B5-L2 -> A6-L2
BAG,4.79,3,D4-L1,S,D4-L1 -> D5-L1 -> D6-L1
NOR,4.78,3,C3-L3,S+OUT,C3-L3 -> C4-L2 -> C5-L1
NOR,4.78,3,E4-L6,N+W+OUT,E4-L6 -> D3-L5 -> C2-L4
ONTO,4.77,4,B6-L2,E+IN,B6-L2 -> C6-L3 -> D6-L4 -> E6-L5
INC,4.77,3,D6-L3,W,D6-L3 -> C6-L3 -> B6-L3
NET,4.76,3,D3-L6,S+W,D3-L6 -> C4-L6 -> B5-L6
ROLL,4.75,4,F5-L3,IN,F5-L3 -> F5-L4 -> F5-L5 -> F5-L6
AID,4.75,3,B3-L3,E+OUT,B3-L3 -> C3-L2 -> D3-L1
AID,4.75,3,E1-L4,S+W,E1-L4 -> D2-L4 -> C3-L4
AID,4.75,3,C5-L6,N+OUT,C5-L6 -> C4-L5 -> C3-L4
LEE,4.73,3,A6-L5,E,A6-L5 -> B6-L5 -> C6-L5
PRINCE,4.72,6,F6-L3,W,F6-L3 -> E6-L3 -> D6-L3 -> C6-L3 -> B6-L3 -> A6-L3
ILL,4.72,3,D1-L2,E+IN,D1-L2 -> E1-L3 -> F1-L4
ILL,4.72,3,C5-L5,N+W+OUT,C5-L5 -> B4-L4 -> A3-L3
RAIN,4.71,4,C5-L1,N+E+IN,C5-L1 -> D4-L2 -> E3-L3 -> F2-L4
BEN,4.69,3,A3-L1,E+IN,A3-L1 -> B3-L2 -> C3-L3
RAY,4.69,3,E6-L4,W+IN,E6-L4 -> D6-L5 -> C6-L6
FLOW,4.68,4,F3-L3,W+IN,F3-L3 -> E3-L4 -> D3-L5 -> C3-L6
ERA,4.67,3,B3-L2,N,B3-L2 -> B2-L2 -> B1-L2
ERA,4.67,3,B1-L5,S+E+OUT,B1-L5 -> C2-L4 -> D3-L3
LEG,4.66,3,A3-L3,N+IN,A3-L3 -> A2-L4 -> A1-L5
LEG,4.66,3,F5-L6,N+W+OUT,F5-L6 -> E4-L5 -> D3-L4
SUB,4.66,3,B5-L2,E,B5-L2 -> C5-L2 -> D5-L2
COOK,4.65,4,C4-L1,IN,C4-L1 -> C4-L2 -> C4-L3 -> C4-L4
TASK,4.65,4,E3-L1,S+W+IN,E3-L1 -> D4-L2 -> C5-L3 -> B6-L4
SAM,4.64,3,A1-L1,E+IN,A1-L1 -> B1-L2 -> C1-L3
SAM,4.64,3,E4-L1,S+W,E4-L1 -> D5-L1 -> C6-L1
SAT,4.64,3,C5-L3,N+E+OUT,C5-L3 -> D4-L2 -> E3-L1
SAT,4.64,3,D5-L6,W,D5-L6 -> C5-L6 -> B5-L6
SHIRT,4.63,5,B5-L2,IN,B5-L2 -> B5-L3 -> B5-L4 -> B5-L5 -> B5-L6
BOB,4.63,3,D4-L1,W+IN,D4-L1 -> C4-L2 -> B4-L3
BOB,4.63,3,B4-L3,E+OUT,B4-L3 -> C4-L2 -> D4-L1
