word,zipf,length,start,direction,path
DOW,3.63,3,C3-L4,IN,C3-L4 -> C3-L5 -> C3-L6
RUM,3.63,3,E6-L3,W+OUT,E6-L3 -> D6-L2 -> C6-L1
TAR,3.63,3,D6-L4,IN,D6-L4 -> D6-L5 -> D6-L6
VALE,3.62,4,A5-L1,N+IN,A5-L1 -> A4-L2 -> A3-L3 -> A2-L4
DOO,3.62,3,E1-L6,W+OUT,E1-L6 -> D1-L5 -> C1-L4
REC,3.62,3,A2-L5,E,A2-L5 -> B2-L5 -> C2-L5
REC,3.62,3,B1-L6,OUT,B1-L6 -> B1-L5 -> B1-L4
REC,3.62,3,B3-L6,N+OUT,B3-L6 -> B2-L5 -> B1-L4
GEO,3.61,3,A1-L5,S+E,A1-L5 -> B2-L5 -> C3-L5
WES,3.60,3,A4-L1,N+IN,A4-L1 -> A3-L2 -> A2-L3
SHRI,3.58,4,E2-L1,IN,E2-L1 -> E2-L2 -> E2-L3 -> E2-L4
ERIE,3.57,4,B6-L5,N,B6-L5 -> B5-L5 -> B4-L5 -> B3-L5
IND,3.57,3,C3-L2,IN,C3-L2 -> C3-L3 -> C3-L4
LEA,3.57,3,E3-L4,S+OUT,E3-L4 -> E4-L3 -> E5-L2
LEA,3.57,3,F4-L6,W+OUT,F4-L6 -> E4-L5 -> D4-L4
TOR,3.57,3,F6-L4,W+IN,F6-L4 -> E6-L5 -> D6-L6
TOR,3.57,3,E6-L6,OUT,E6-L6 -> E6-L5 -> E6-L4
DIN,3.56,3,C3-L4,S+W+IN,C3-L4 -> B4-L5 -> A5-L6
DIR,3.56,3,D3-L1,N+IN,D3-L1 -> D2-L2 -> D1-L3
HEN,3.56,3,F4-L3,W,F4-L3 -> E4-L3 -> D4-L3
ONS,3.56,3,E3-L2,S+W+IN,E3-L2 -> D4-L3 -> C5-L4
RUE,3.56,3,D1-L4,S+W+OUT,D1-L4 -> C2-L3 -> B3-L2
RUE,3.56,3,E6-L4,N+W+IN,E6-L4 -> D5-L5 -> C4-L6
WARE,3.55,4,E4-L2,N+W+IN,E4-L2 -> D3-L3 -> C2-L4 -> B1-L5
DAT,3.55,3,C3-L4,S+E,C3-L4 -> D4-L4 -> E5-L4
GIL,3.55,3,D3-L4,N+E,D3-L4 -> E2-L4 -> F1-L4
MAL,3.55,3,C1-L3,S+W,C1-L3 -> B2-L3 -> A3-L3
PHI,3.55,3,E1-L1,S+IN,E1-L1 -> E2-L2 -> E3-L3
RAG,3.55,3,D3-L2,IN,D3-L2 -> D3-L3 -> D3-L4
RAG,3.55,3,F1-L3,OUT,F1-L3 -> F1-L2 -> F1-L1
NANA,3.54,4,D4-L3,IN,D4-L3 -> D4-L4 -> D4-L5 -> D4-L6
NANA,3.54,4,D4-L5,OUT,D4-L5 -> D4-L4 -> D4-L3 -> D4-L2
POO,3.54,3,F6-L3,N+IN,F6-L3 -> F5-L4 -> F4-L5
MONO,3.53,4,C1-L3,IN,C1-L3 -> C1-L4 -> C1-L5 -> C1-L6
ARI,3.53,3,D4-L2,N,D4-L2 -> D3-L2 -> D2-L2
ARI,3.53,3,E1-L4,W+OUT,E1-L4 -> D1-L3 -> C1-L2
MAS,3.53,3,C6-L1,N+E,C6-L1 -> D5-L1 -> E4-L1
MAS,3.53,3,C1-L3,W+OUT,C1-L3 -> B1-L2 -> A1-L1
NAS,3.53,3,D3-L6,S,D3-L6 -> D4-L6 -> D5-L6
TAD,3.53,3,E5-L4,N+W,E5-L4 -> D4-L4 -> C3-L4
IEEE,3.52,4,B4-L5,N,B4-L5 -> B3-L5 -> B2-L5 -> B1-L5
ANG,3.52,3,F2-L3,IN,F2-L3 -> F2-L4 -> F2-L5
DEW,3.52,3,E4-L4,OUT,E4-L4 -> E4-L3 -> E4-L2
NFC,3.52,3,F2-L4,S+OUT,F2-L4 -> F3-L3 -> F4-L2
NOS,3.52,3,C3-L3,S,C3-L3 -> C4-L3 -> C5-L3
CAS,3.51,3,E5-L3,W,E5-L3 -> D5-L3 -> C5-L3
FOE,3.51,3,A4-L3,S,A4-L3 -> A5-L3 -> A6-L3
FOE,3.51,3,A4-L4,S+OUT,A4-L4 -> A5-L3 -> A6-L2
IOT,3.51,3,E3-L3,OUT,E3-L3 -> E3-L2 -> E3-L1
ELIOT,3.50,5,E3-L5,OUT,E3-L5 -> E3-L4 -> E3-L3 -> E3-L2 -> E3-L1
CHU,3.50,3,C2-L1,IN,C2-L1 -> C2-L2 -> C2-L3
FAA,3.50,3,F3-L4,N+OUT,F3-L4 -> F2-L3 -> F1-L2
HEE,3.50,3,C2-L6,W+OUT,C2-L6 -> B2-L5 -> A2-L4
LSU,3.50,3,B4-L4,S+E+OUT,B4-L4 -> C5-L3 -> D6-L2
MOE,3.50,3,C6-L1,W+IN,C6-L1 -> B6-L2 -> A6-L3
CHO,3.49,3,F4-L2,IN,F4-L2 -> F4-L3 -> F4-L4
CUB,3.49,3,B6-L3,N+E+OUT,B6-L3 -> C5-L2 -> D4-L1
EUR,3.49,3,B3-L2,N+E+IN,B3-L2 -> C2-L3 -> D1-L4
EUR,3.49,3,C4-L6,S+E+OUT,C4-L6 -> D5-L5 -> E6-L4
NAN,3.49,3,D4-L3,IN,D4-L3 -> D4-L4 -> D4-L5
NAN,3.49,3,D4-L5,OUT,D4-L5 -> D4-L4 -> D4-L3
SER,3.49,3,A2-L3,IN,A2-L3 -> A2-L4 -> A2-L5
SER,3.49,3,D5-L6,N+W,D5-L6 -> C4-L6 -> B3-L6
WEN,3.49,3,C3-L6,N+W+OUT,C3-L6 -> B2-L5 -> A1-L4
ACA,3.48,3,F6-L2,N+W+IN,F6-L2 -> E5-L3 -> D4-L4
ACA,3.48,3,D4-L4,S+E+OUT,D4-L4 -> E5-L3 -> F6-L2
APE,3.48,3,B2-L3,IN,B2-L3 -> B2-L4 -> B2-L5
APE,3.48,3,B3-L3,N+IN,B3-L3 -> B2-L4 -> B1-L5
FIR,3.48,3,A4-L3,N+IN,A4-L3 -> A3-L4 -> A2-L5
FIR,3.48,3,F3-L4,N+W,F3-L4 -> E2-L4 -> D1-L4
FIR,3.48,3,F3-L4,W+OUT,F3-L4 -> E3-L3 -> D3-L2
PSA,3.48,3,F6-L6,N+W,F6-L6 -> E5-L6 -> D4-L6
RAE,3.48,3,C2-L4,W+OUT,C2-L4 -> B2-L3 -> A2-L2
SAL,3.48,3,C5-L4,N+E,C5-L4 -> D4-L4 -> E3-L4
AIN,3.46,3,D4-L2,N+E+IN,D4-L2 -> E3-L3 -> F2-L4
AIN,3.46,3,F2-L3,W+IN,F2-L3 -> E2-L4 -> D2-L5
AIN,3.46,3,F2-L3,S+W,F2-L3 -> E3-L3 -> D4-L3
AIN,3.46,3,D4-L4,W+IN,D4-L4 -> C4-L5 -> B4-L6
IDA,3.46,3,F3-L5,S+W+OUT,F3-L5 -> E4-L4 -> D5-L3
NPR,3.46,3,F3-L6,N+W,F3-L6 -> E2-L6 -> D1-L6
SHI,3.46,3,B5-L2,IN,B5-L2 -> B5-L3 -> B5-L4
SHI,3.46,3,C5-L4,W+OUT,C5-L4 -> B5-L3 -> A5-L2
SHI,3.46,3,B2-L6,E,B2-L6 -> C2-L6 -> D2-L6
WEI,3.46,3,C3-L6,W+OUT,C3-L6 -> B3-L5 -> A3-L4
APES,3.45,4,B2-L3,IN,B2-L3 -> B2-L4 -> B2-L5 -> B2-L6
INDO,3.45,4,C3-L2,IN,C3-L2 -> C3-L3 -> C3-L4 -> C3-L5
PONG,3.45,4,A1-L2,IN,A1-L2 -> A1-L3 -> A1-L4 -> A1-L5
ANC,3.45,3,B1-L2,IN,B1-L2 -> B1-L3 -> B1-L4
ISS,3.45,3,C5-L5,OUT,C5-L5 -> C5-L4 -> C5-L3
NRA,3.45,3,D2-L5,W+OUT,D2-L5 -> C2-L4 -> B2-L3
PSI,3.45,3,A1-L2,S+IN,A1-L2 -> A2-L3 -> A3-L4
SEW,3.45,3,A2-L3,S+OUT,A2-L3 -> A3-L2 -> A4-L1
USS,3.45,3,C5-L2,IN,C5-L2 -> C5-L3 -> C5-L4
KIA,3.44,3,B6-L4,N+E+IN,B6-L4 -> C5-L5 -> D4-L6
KIA,3.44,3,C6-L4,E+OUT,C6-L4 -> D6-L3 -> E6-L2
LAM,3.44,3,A3-L3,N+E,A3-L3 -> B2-L3 -> C1-L3
ROE,3.44,3,D1-L3,W+IN,D1-L3 -> C1-L4 -> B1-L5
ROE,3.44,3,C2-L4,S+IN,C2-L4 -> C3-L5 -> C4-L6
ELLE,3.43,4,A6-L3,N+IN,A6-L3 -> A5-L4 -> A4-L5 -> A3-L6
ELLE,3.43,4,A3-L6,S+OUT,A3-L6 -> A4-L5 -> A5-L4 -> A6-L3
BTC,3.43,3,A6-L1,N+E,A6-L1 -> B5-L1 -> C4-L1
IRL,3.43,3,E3-L3,N,E3-L3 -> E2-L3 -> E1-L3
IRL,3.43,3,C4-L5,S+W,C4-L5 -> B5-L5 -> A6-L5
POL,3.43,3,E1-L1,IN,E1-L1 -> E1-L2 -> E1-L3
VIS,3.43,3,B3-L4,S+E+IN,B3-L4 -> C4-L5 -> D5-L6
BEL,3.42,3,A3-L1,IN,A3-L1 -> A3-L2 -> A3-L3
CSS,3.42,3,F3-L1,S,F3-L1 -> F4-L1 -> F5-L1
CSS,3.42,3,D5-L4,W+OUT,D5-L4 -> C5-L3 -> B5-L2
FRI,3.42,3,F3-L4,N+W+OUT,F3-L4 -> E2-L3 -> D1-L2
IKE,3.42,3,D6-L3,W+IN,D6-L3 -> C6-L4 -> B6-L5
VER,3.42,3,B3-L4,N+IN,B3-L4 -> B2-L5 -> B1-L6
VER,3.42,3,B3-L4,IN,B3-L4 -> B3-L5 -> B3-L6
GENIE,3.41,5,F2-L5,S+W,F2-L5 -> E3-L5 -> D4-L5 -> C5-L5 -> B6-L5
CPS,3.41,3,C2-L5,W+OUT,C2-L5 -> B2-L4 -> A2-L3
ERR,3.39,3,B3-L5,N+E+OUT,B3-L5 -> C2-L4 -> D1-L3
ROI,3.39,3,B6-L1,E+IN,B6-L1 -> C6-L2 -> D6-L3
ROI,3.39,3,D3-L2,S+W+IN,D3-L2 -> C4-L3 -> B5-L4
ROI,3.39,3,F5-L3,N+IN,F5-L3 -> F4-L4 -> F3-L5
HOO,3.38,3,F4-L3,N+OUT,F4-L3 -> F3-L2 -> F2-L1
HOO,3.38,3,F4-L3,IN,F4-L3 -> F4-L4 -> F4-L5
HOO,3.38,3,F4-L3,S+IN,F4-L3 -> F5-L4 -> F6-L5
LTE,3.38,3,A6-L5,OUT,A6-L5 -> A6-L4 -> A6-L3
MIR,3.38,3,D1-L1,IN,D1-L1 -> D1-L2 -> D1-L3
MIR,3.38,3,E2-L5,OUT,E2-L5 -> E2-L4 -> E2-L3
SOW,3.38,3,C5-L3,N+OUT,C5-L3 -> C4-L2 -> C3-L1
IGOR,3.37,4,E3-L3,W+IN,E3-L3 -> D3-L4 -> C3-L5 -> B3-L6
ETA,3.37,3,F2-L6,S+W,F2-L6 -> E3-L6 -> D4-L6
IPO,3.37,3,A3-L4,N+E,A3-L4 -> B2-L4 -> C1-L4
KAN,3.37,3,D2-L3,S,D2-L3 -> D3-L3 -> D4-L3
NRL,3.37,3,C1-L5,E+OUT,C1-L5 -> D1-L4 -> E1-L3
SAO,3.37,3,E4-L1,W+IN,E4-L1 -> D4-L2 -> C4-L3
SAO,3.37,3,A2-L3,S+E,A2-L3 -> B3-L3 -> C4-L3
RAPES,3.36,5,B2-L2,IN,B2-L2 -> B2-L3 -> B2-L4 -> B2-L5 -> B2-L6
ELM,3.36,3,E4-L3,N+IN,E4-L3 -> E3-L4 -> E2-L5
GIT,3.36,3,D3-L4,S+W+IN,D3-L4 -> C4-L5 -> B5-L6
WASP,3.35,4,C3-L6,S+E,C3-L6 -> D4-L6 -> E5-L6 -> F6-L6
DUI,3.35,3,C3-L4,N+OUT,C3-L4 -> C2-L3 -> C1-L2
LAOS,3.34,4,F1-L4,S+OUT,F1-L4 -> F2-L3 -> F3-L2 -> F4-L1
BEA,3.34,3,B3-L1,IN,B3-L1 -> B3-L2 -> B3-L3
BOG,3.34,3,B4-L3,OUT,B4-L3 -> B4-L2 -> B4-L1
DIA,3.34,3,D3-L1,W+IN,D3-L1 -> C3-L2 -> B3-L3
DIA,3.34,3,C3-L4,S+IN,C3-L4 -> C4-L5 -> C5-L6
DIA,3.34,3,C3-L4,N+E,C3-L4 -> D2-L4 -> E1-L4
FOO,3.34,3,F3-L4,S,F3-L4 -> F4-L4 -> F5-L4
GON,3.34,3,B4-L1,E+IN,B4-L1 -> C4-L2 -> D4-L3
GON,3.34,3,D3-L4,IN,D3-L4 -> D3-L5 -> D3-L6
LUC,3.34,3,F5-L6,W+OUT,F5-L6 -> E5-L5 -> D5-L4
NIL,3.33,3,C6-L3,N+W+IN,C6-L3 -> B5-L4 -> A4-L5
NIL,3.33,3,F2-L4,S+IN,F2-L4 -> F3-L5 -> F4-L6
NIL,3.33,3,B4-L6,OUT,B4-L6 -> B4-L5 -> B4-L4
NIL,3.33,3,A5-L6,OUT,A5-L6 -> A5-L5 -> A5-L4
ABA,3.32,3,D5-L1,IN,D5-L1 -> D5-L2 -> D5-L3
ABA,3.32,3,D5-L3,OUT,D5-L3 -> D5-L2 -> D5-L1
COR,3.32,3,F4-L2,N,F4-L2 -> F3-L2 -> F2-L2
COR,3.32,3,B6-L3,OUT,B6-L3 -> B6-L2 -> B6-L1
COR,3.32,3,B1-L4,E,B1-L4 -> C1-L4 -> D1-L4
NIP,3.32,3,C3-L3,N+E+OUT,C3-L3 -> D2-L2 -> E1-L1
NEC,3.31,3,F3-L6,S+W+OUT,F3-L6 -> E4-L5 -> D5-L4
NEC,3.31,3,F3-L6,N,F3-L6 -> F2-L6 -> F1-L6
REA,3.31,3,F5-L3,N+W,F5-L3 -> E4-L3 -> D3-L3
ROC,3.31,3,B6-L1,IN,B6-L1 -> B6-L2 -> B6-L3
ROC,3.31,3,F2-L2,S,F2-L2 -> F3-L2 -> F4-L2
ROC,3.31,3,D1-L4,W,D1-L4 -> C1-L4 -> B1-L4
BOAR,3.30,4,B3-L1,S+E+IN,B3-L1 -> C4-L2 -> D5-L3 -> E6-L4
COO,3.30,3,C4-L1,IN,C4-L1 -> C4-L2 -> C4-L3
FLO,3.30,3,F3-L3,W+IN,F3-L3 -> E3-L4 -> D3-L5
KGB,3.30,3,C1-L1,S+W,C1-L1 -> B2-L1 -> A3-L1
LOO,3.30,3,F4-L6,OUT,F4-L6 -> F4-L5 -> F4-L4
RAO,3.30,3,F1-L3,W+IN,F1-L3 -> E1-L4 -> D1-L5
RAO,3.30,3,E2-L3,S+W,E2-L3 -> D3-L3 -> C4-L3
RAO,3.30,3,E6-L3,N+W,E6-L3 -> D5-L3 -> C4-L3
RAO,3.30,3,E6-L4,N+W+OUT,E6-L4 -> D5-L3 -> C4-L2
ROS,3.30,3,D3-L2,S+W,D3-L2 -> C4-L2 -> B5-L2
ROS,3.30,3,E2-L3,S+OUT,E2-L3 -> E3-L2 -> E4-L1
EDNA,3.29,4,B2-L5,S+E+OUT,B2-L5 -> C3-L4 -> D4-L3 -> E5-L2
CIO,3.29,3,C2-L1,S+IN,C2-L1 -> C3-L2 -> C4-L3
GUI,3.29,3,B4-L1,S+E+IN,B4-L1 -> C5-L2 -> D6-L3
GUI,3.29,3,D6-L1,IN,D6-L1 -> D6-L2 -> D6-L3
LAI,3.29,3,F6-L1,W+IN,F6-L1 -> E6-L2 -> D6-L3
LAI,3.29,3,E3-L4,W+OUT,E3-L4 -> D3-L3 -> C3-L2
OCD,3.29,3,C1-L6,S+OUT,C1-L6 -> C2-L5 -> C3-L4
PST,3.29,3,E1-L1,S,E1-L1 -> E2-L1 -> E3-L1
TAU,3.29,3,E5-L4,W+OUT,E5-L4 -> D5-L3 -> C5-L2
CHOO,3.28,4,F4-L2,IN,F4-L2 -> F4-L3 -> F4-L4 -> F4-L5
DAE,3.28,3,C3-L4,W+OUT,C3-L4 -> B3-L3 -> A3-L2
UNO,3.28,3,C2-L3,S,C2-L3 -> C3-L3 -> C4-L3
UNO,3.28,3,D5-L5,N,D5-L5 -> D4-L5 -> D3-L5
UNO,3.28,3,E5-L5,N+W,E5-L5 -> D4-L5 -> C3-L5
WIL,3.28,3,C3-L1,N+E+IN,C3-L1 -> D2-L2 -> E1-L3
WIL,3.28,3,C3-L6,S+W+OUT,C3-L6 -> B4-L5 -> A5-L4
CORA,3.27,4,F4-L2,N,F4-L2 -> F3-L2 -> F2-L2 -> F1-L2
CORA,3.27,4,B1-L4,E,B1-L4 -> C1-L4 -> D1-L4 -> E1-L4
BTS,3.27,3,D2-L1,S+E,D2-L1 -> E3-L1 -> F4-L1
KUN,3.27,3,C6-L4,N+E+IN,C6-L4 -> D5-L5 -> E4-L6
LAO,3.27,3,F1-L4,S+OUT,F1-L4 -> F2-L3 -> F3-L2
LEW,3.27,3,A3-L3,E+OUT,A3-L3 -> B3-L2 -> C3-L1
ORR,3.27,3,F3-L2,N+W+IN,F3-L2 -> E2-L3 -> D1-L4
ORR,3.27,3,D1-L5,OUT,D1-L5 -> D1-L4 -> D1-L3
ORR,3.27,3,E6-L5,OUT,E6-L5 -> E6-L4 -> E6-L3
SAI,3.27,3,F4-L1,S+W+IN,F4-L1 -> E5-L2 -> D6-L3
SOB,3.27,3,C5-L3,N+W+OUT,C5-L3 -> B4-L2 -> A3-L1
NINO,3.26,4,E1-L5,S+W+OUT,E1-L5 -> D2-L4 -> C3-L3 -> B4-L2
FOL,3.26,3,F3-L3,S+IN,F3-L3 -> F4-L4 -> F5-L5
FOL,3.26,3,F3-L4,S+IN,F3-L4 -> F4-L5 -> F5-L6
MOI,3.26,3,E2-L5,S+W,E2-L5 -> D3-L5 -> C4-L5
STS,3.26,3,E2-L1,S,E2-L1 -> E3-L1 -> E4-L1
STS,3.26,3,E4-L1,N,E4-L1 -> E3-L1 -> E2-L1
TER,3.26,3,A2-L6,E+OUT,A2-L6 -> B2-L5 -> C2-L4
CSI,3.25,3,D5-L4,W,D5-L4 -> C5-L4 -> B5-L4
ISP,3.25,3,A3-L4,N+OUT,A3-L4 -> A2-L3 -> A1-L2
RAI,3.25,3,C5-L1,N+E+IN,C5-L1 -> D4-L2 -> E3-L3
RAI,3.25,3,D1-L3,E+IN,D1-L3 -> E1-L4 -> F1-L5
TSP,3.25,3,E3-L1,N,E3-L1 -> E2-L1 -> E1-L1
AOL,3.24,3,D4-L2,W+IN,D4-L2 -> C4-L3 -> B4-L4
DNS,3.24,3,C3-L4,S+E+IN,C3-L4 -> D4-L5 -> E5-L6
HUA,3.24,3,B5-L3,E+OUT,B5-L3 -> C5-L2 -> D5-L1
IOC,3.24,3,D2-L2,S+E,D2-L2 -> E3-L2 -> F4-L2
IOC,3.24,3,C4-L5,N,C4-L5 -> C3-L5 -> C2-L5
TAK,3.24,3,E6-L6,W+OUT,E6-L6 -> D6-L5 -> C6-L4
WIS,3.24,3,C3-L6,S+OUT,C3-L6 -> C4-L5 -> C5-L4
EEL,3.23,3,C6-L5,W,C6-L5 -> B6-L5 -> A6-L5
EOS,3.23,3,B3-L2,S,B3-L2 -> B4-L2 -> B5-L2
EOS,3.23,3,E4-L3,N+OUT,E4-L3 -> E3-L2 -> E2-L1
IMP,3.23,3,E2-L4,IN,E2-L4 -> E2-L5 -> E2-L6
MSC,3.23,3,D1-L1,S+E,D1-L1 -> E2-L1 -> F3-L1
OST,3.23,3,B4-L2,S+E+IN,B4-L2 -> C5-L3 -> D6-L4
ATT,3.22,3,D4-L4,S+E,D4-L4 -> E5-L4 -> F6-L4
EIN,3.22,3,B6-L5,N+E,B6-L5 -> C5-L5 -> D4-L5
ICH,3.22,3,D6-L3,N+E,D6-L3 -> E5-L3 -> F4-L3
INA,3.22,3,D2-L6,S,D2-L6 -> D3-L6 -> D4-L6
IRE,3.22,3,C1-L2,S+W,C1-L2 -> B2-L2 -> A3-L2
IRE,3.22,3,A3-L4,N+IN,A3-L4 -> A2-L5 -> A1-L6
IRE,3.22,3,B4-L5,S,B4-L5 -> B5-L5 -> B6-L5
NOM,3.22,3,C6-L3,OUT,C6-L3 -> C6-L2 -> C6-L1
NOM,3.22,3,C1-L5,OUT,C1-L5 -> C1-L4 -> C1-L3
NEE,3.21,3,A5-L6,N,A5-L6 -> A4-L6 -> A3-L6
RAS,3.21,3,E6-L3,N+OUT,E6-L3 -> E5-L2 -> E4-L1
RIN,3.21,3,E6-L3,W,E6-L3 -> D6-L3 -> C6-L3
RIN,3.21,3,D1-L6,S,D1-L6 -> D2-L6 -> D3-L6
SSD,3.21,3,F5-L1,N+W,F5-L1 -> E4-L1 -> D3-L1
TIC,3.21,3,B5-L6,E+OUT,B5-L6 -> C5-L5 -> D5-L4
LIEN,3.20,4,E1-L3,S+IN,E1-L3 -> E2-L4 -> E3-L5 -> E4-L6
ADO,3.20,3,B3-L3,E+IN,B3-L3 -> C3-L4 -> D3-L5
ADO,3.20,3,D4-L4,E,D4-L4 -> E4-L4 -> F4-L4
ANI,3.20,3,D4-L6,N,D4-L6 -> D3-L6 -> D2-L6
CAO,3.20,3,E5-L3,N+W+IN,E5-L3 -> D4-L4 -> C3-L5
RCA,3.20,3,F5-L3,W,F5-L3 -> E5-L3 -> D5-L3
TIA,3.20,3,B6-L6,N+E+OUT,B6-L6 -> C5-L5 -> D4-L4
CES,3.19,3,C4-L1,N+W+IN,C4-L1 -> B3-L2 -> A2-L3
CIR,3.19,3,B1-L1,E+IN,B1-L1 -> C1-L2 -> D1-L3
CIR,3.19,3,C2-L1,E+IN,C2-L1 -> D2-L2 -> E2-L3
CIR,3.19,3,D5-L4,N+W+IN,D5-L4 -> C4-L5 -> B3-L6
CIR,3.19,3,C2-L5,E+OUT,C2-L5 -> D2-L4 -> E2-L3
LLP,3.19,3,F4-L6,S,F4-L6 -> F5-L6 -> F6-L6
AVI,3.18,3,B2-L3,S+IN,B2-L3 -> B3-L4 -> B4-L5
BBW,3.18,3,A3-L1,E,A3-L1 -> B3-L1 -> C3-L1
BOA,3.18,3,B3-L1,S+E+IN,B3-L1 -> C4-L2 -> D5-L3
BOA,3.18,3,D4-L1,N+E+IN,D4-L1 -> E3-L2 -> F2-L3
RET,3.18,3,C2-L4,W+IN,C2-L4 -> B2-L5 -> A2-L6
AWS,3.17,3,D3-L3,S+E+OUT,D3-L3 -> E4-L2 -> F5-L1
AWS,3.17,3,D4-L6,N+W,D4-L6 -> C3-L6 -> B2-L6
KOH,3.17,3,C4-L4,N+IN,C4-L4 -> C3-L5 -> C2-L6
LEI,3.17,3,F4-L6,N+W+OUT,F4-L6 -> E3-L5 -> D2-L4
MOR,3.17,3,D1-L1,E+IN,D1-L1 -> E1-L2 -> F1-L3
PCI,3.17,3,B2-L4,E+IN,B2-L4 -> C2-L5 -> D2-L6
ATL,3.16,3,D5-L3,E+IN,D5-L3 -> E5-L4 -> F5-L5
FFA,3.16,3,A4-L4,OUT,A4-L4 -> A4-L3 -> A4-L2
ITO,3.16,3,D6-L3,N+E+IN,D6-L3 -> E5-L4 -> F4-L5
ONO,3.16,3,C1-L4,IN,C1-L4 -> C1-L5 -> C1-L6
ONO,3.16,3,D1-L5,S,D1-L5 -> D2-L5 -> D3-L5
ONO,3.16,3,D3-L5,N,D3-L5 -> D2-L5 -> D1-L5
ONO,3.16,3,C1-L6,OUT,C1-L6 -> C1-L5 -> C1-L4
OTC,3.16,3,F5-L4,W,F5-L4 -> E5-L4 -> D5-L4
SAR,3.16,3,E4-L1,S+IN,E4-L1 -> E5-L2 -> E6-L3
TOD,3.16,3,E3-L6,W+OUT,E3-L6 -> D3-L5 -> C3-L4
CCC,3.15,3,F5-L2,W+IN,F5-L2 -> E5-L3 -> D5-L4
CCC,3.15,3,D5-L4,E+OUT,D5-L4 -> E5-L3 -> F5-L2
COE,3.15,3,D5-L4,N+W+OUT,D5-L4 -> C4-L3 -> B3-L2
COE,3.15,3,C2-L5,S+E,C2-L5 -> D3-L5 -> E4-L5
CSA,3.15,3,F3-L1,S+W,F3-L1 -> E4-L1 -> D5-L1
EAU,3.15,3,E4-L3,N+W,E4-L3 -> D3-L3 -> C2-L3
OOF,3.15,3,F5-L4,N,F5-L4 -> F4-L4 -> F3-L4
ABD,3.14,3,D5-L1,N,D5-L1 -> D4-L1 -> D3-L1
DAK,3.14,3,E4-L4,W,E4-L4 -> D4-L4 -> C4-L4
RIC,3.14,3,D1-L3,W+OUT,D1-L3 -> C1-L2 -> B1-L1
RIC,3.14,3,E2-L3,W+OUT,E2-L3 -> D2-L2 -> C2-L1
RIC,3.14,3,E2-L3,W+IN,E2-L3 -> D2-L4 -> C2-L5
RIC,3.14,3,B3-L6,S+E+OUT,B3-L6 -> C4-L5 -> D5-L4
ACS,3.13,3,D5-L1,E,D5-L1 -> E5-L1 -> F5-L1
BAO,3.13,3,A3-L1,S+IN,A3-L1 -> A4-L2 -> A5-L3
COA,3.13,3,F3-L1,W+IN,F3-L1 -> E3-L2 -> D3-L3
NPC,3.13,3,D3-L6,N+E,D3-L6 -> E2-L6 -> F1-L6
ONT,3.13,3,B6-L2,E+IN,B6-L2 -> C6-L3 -> D6-L4
ONT,3.13,3,C1-L4,S+E+IN,C1-L4 -> D2-L5 -> E3-L6
RGB,3.13,3,C5-L1,N+W,C5-L1 -> B4-L1 -> A3-L1
RSA,3.13,3,B5-L5,E+OUT,B5-L5 -> C5-L4 -> D5-L3
RSA,3.13,3,D6-L6,N,D6-L6 -> D5-L6 -> D4-L6
SHO,3.13,3,C5-L3,W,C5-L3 -> B5-L3 -> A5-L3
DAH,3.12,3,E4-L4,N+W+OUT,E4-L4 -> D3-L3 -> C2-L2
NAB,3.12,3,D4-L3,OUT,D4-L3 -> D4-L2 -> D4-L1
ORA,3.12,3,F2-L1,IN,F2-L1 -> F2-L2 -> F2-L3
ORA,3.12,3,E3-L2,N+IN,E3-L2 -> E2-L3 -> E1-L4
ORA,3.12,3,F3-L2,N,F3-L2 -> F2-L2 -> F1-L2
ORA,3.12,3,C1-L4,E,C1-L4 -> D1-L4 -> E1-L4
ORA,3.12,3,F4-L4,S+OUT,F4-L4 -> F5-L3 -> F6-L2
ORA,3.12,3,D1-L5,S+W+OUT,D1-L5 -> C2-L4 -> B3-L3
REI,3.12,3,A2-L5,S+E,A2-L5 -> B3-L5 -> C4-L5
EMI,3.11,3,F2-L6,W+OUT,F2-L6 -> E2-L5 -> D2-L4
ITA,3.11,3,D6-L3,IN,D6-L3 -> D6-L4 -> D6-L5
OTT,3.11,3,F4-L4,S+W,F4-L4 -> E5-L4 -> D6-L4
SIA,3.11,3,C5-L4,IN,C5-L4 -> C5-L5 -> C5-L6
TRE,3.11,3,A6-L4,N+E+IN,A6-L4 -> B5-L5 -> C4-L6
TRE,3.11,3,A2-L6,OUT,A2-L6 -> A2-L5 -> A2-L4
TRE,3.11,3,A2-L6,S+E,A2-L6 -> B3-L6 -> C4-L6
BAC,3.10,3,D5-L2,IN,D5-L2 -> D5-L3 -> D5-L4
BAC,3.10,3,D5-L2,E,D5-L2 -> E5-L2 -> F5-L2
HAE,3.10,3,C2-L2,W+IN,C2-L2 -> B2-L3 -> A2-L4
ISI,3.10,3,D6-L3,N+W+IN,D6-L3 -> C5-L4 -> B4-L5
ISI,3.10,3,B4-L5,S+E+OUT,B4-L5 -> C5-L4 -> D6-L3
NIA,3.10,3,D4-L3,N+E,D4-L3 -> E3-L3 -> F2-L3
NIA,3.10,3,F2-L4,S+W+OUT,F2-L4 -> E3-L3 -> D4-L2
NIA,3.10,3,D2-L5,E+OUT,D2-L5 -> E2-L4 -> F2-L3
NIA,3.10,3,B4-L6,E+OUT,B4-L6 -> C4-L5 -> D4-L4
