title,artist,category_text,url,paragraphs_checked,match_found,match_last_line,match_paragraph_snippet,youtube_covers_recent
Shiki no Uta,MINMI,Samurai Champloo (anime),https://animelyricsaz.com/anime/samurai-champloo/shiki-no-uta/1186-15557,32,True,tooisugita aozora,tooisugita aozora,
Singing Wheel,Megu Sakuragawa,Rail Romanesque (anime),https://animelyricsaz.com/anime/rail-romanesque/singing-wheel/5168-48257,44,True,Saki ni mieta aozora,Saki ni mieta aozora,
Staccato Days,Asumi Kana,Yama no susume (anime),https://animelyricsaz.com/anime/yama-no-susume/staccato-days/1063-566,47,True,Oide temaneku aozora,Oide temaneku aozora,
Time Machine,Shintani Ryouko,Lamune (anime),https://animelyricsaz.com/anime/lamune/time-machine/583-20651,31,True,Nukeru you na aozora,Nukeru you na aozora,
Toki o Koete,TWO-MIX,Engage Planet Kissdum (anime),https://animelyricsaz.com/anime/engage-planet-kissdum/toki-o-koete/273-12507,35,True,Itsuka mita ano aozora,Itsuka mita ano aozora,
Toki o Koete(TV size),TWO-MIX,Engage Planet Kissdum (anime),https://animelyricsaz.com/anime/engage-planet-kissdum/toki-o-koete-tv-size/273-12506,12,True,Itsuka mita ano aozora,Itsuka mita ano aozora,
Tu Tu Tu!,Liella!,Love Live! Superstar!! (anime),https://animelyricsaz.com/anime/love-live-superstar/tu-tu-tu/5366-52919,33,True,Haru no nioi ni natsu no aozora,Haru no nioi ni natsu no aozora,
VS,Porno Graffitti,Mix: Meisei Story (anime),https://animelyricsaz.com/anime/mix-meisei-story/vs/4118-41627,26,True,Haruka bakari mita ano hi no aozora,Haruka bakari mita ano hi no aozora,
VS(TV size),Porno Graffitti,Mix (anime),https://animelyricsaz.com/anime/mix-meisei-story/vs-tv-size/4117-41626,12,True,Haruka bakari mita ano hi no aozora,Haruka bakari mita ano hi no aozora,
Yakusoku no Asu e,Root five,Saint Seiya: Soul of Gold (anime),https://animelyricsaz.com/anime/saint-seiya-soul-of-gold/yakusoku-no-asu-e/1514-19927,26,True,Minna issho ni nekoro nde aogu takaku sunda aozora,Minna issho ni nekoro nde aogu takaku sunda aozora,
